id;name;street;building_number;post_code;lat;lng;active;source_id;poi_group_id
1;Multi-channelled;Kerluke Valley;innovative drive Infrastructure;32900-0046;3538;45930;true;1;1
2;Implementation Australia Small;Ferry Ridge;withdrawal;90203-1690;54641;77849;true;2;2
3;virtual;Deckow Field;auxiliary Connecticut Way;44550;95669;63674;true;3;3
4;platforms;Heidenreich Parkways;Account Generic;10112-2783;34190;31850;false;4;4
5;Account Chair Cliff;Ondricka Shore;initiatives Computers Avon;81936;84012;91930;true;5;5
6;quantify;Spencer Garden;purple Rapids;17137;88246;86013;false;6;6
7;Industrial Spain;VonRueden Junction;microchip Dollar protocol;98612-6317;29476;45142;false;7;7
8;Fish withdrawal navigate;Dillon Glen;quantifying;08496;84629;36408;false;8;8
9;microchip Savings;McCullough Village;Incredible Manager Barbados;90911;98698;22190;true;9;9
10;District Intranet reboot;Corrine Branch;Isle Designer;21115-9047;65406;25069;false;10;10
