id;key;value;default_value;description
1;payment Tunisian invoice;Account mission-critical mindshare;orange groupware;Kip Direct
2;Rupee;architecture Card;HDD Fresh Music;Buckinghamshire artificial
3;index deliverables even-keeled;invoice Investor Auto;primary JBOD;Haven mission-critical
4;Dinar reintermediate Cocos;Serbian Incredible cross-platform;invoice Incredible Movies;deploy web-readiness Inlet
5;1080p Haven Global;payment RAM pixel;Refined invoice;Frozen panel Incredible
6;Chair Plastic reboot;Distributed;Games quantifying Soft;Object-based Supervisor asymmetric
7;high-level;tolerance;Mouse Zimbabwe;Configuration
8;Cotton;Falls wireless;RAM up Intelligent;bandwidth-monitored back
9;applications Frozen;Communications;Producer Marketing;Dynamic
10;Berkshire pixel strategic;program Rubber;Multi-lateral;Route Zimbabwe
